ElapsedSeconds,CPU Usage (%),Memory Usage (MB),Network Received (MB),Network Sent (MB),Network Receive Traffic (Mbps),Network Send Traffic (Mbps)
7.152557373046875e-07,7.2,1110.69140625,1220.0278930664062,427.9534206390381,13645780992.0,4786577984.0
0.10058474540710449,12.5,1110.046875,1220.7632913589478,427.9746675491333,58.48984671105496,1.6898713624393493
0.2012486457824707,9.5,1109.44140625,1221.6312351226807,428.00672817230225,34.5023445144995,1.2744681304777408
0.3019556999206543,2.7,1109.08203125,1222.4293766021729,428.03235912323,21.145922523122888,0.6790651988876378
0.4026985168457031,2.6,1107.8984375,1223.15944480896,428.0593957901001,14.503519158812106,0.5371098375408516
0.5033907890319824,7.3,1109.0078125,1223.8041248321533,428.0904130935669,10.24540038856214,0.4929339851679522
0.6040561199188232,0.0,1109.74609375,1224.542100906372,428.1231870651245,9.773609436393741,0.43405200910169145
0.704749345779419,7.3,1106.79296875,1224.985366821289,428.14867305755615,5.031756809102236,0.2893056101068597
0.8054711818695068,7.7,1097.12109375,1225.6465005874634,428.18167781829834,6.566429995817535,0.32780575131771306
0.9063310623168945,12.2,1098.10546875,1226.384388923645,428.21830654144287,6.513190306379602,0.3233142913662971
1.007256269454956,2.6,1099.08984375,1227.0356245040894,428.25183391571045,5.1723526589453215,0.26628674576109906
1.1084363460540771,7.3,1100.07421875,1227.7657022476196,428.2846212387085,5.26924434500386,0.23663838245482638
1.2091436386108398,5.1,1101.05859375,1228.4934091567993,428.3047914505005,4.814692884731114,0.13345122050290287
1.3107142448425293,10.0,1101.55078125,1229.049349784851,428.3246030807495,3.393207208904938,0.12092112572655303
1.4124352931976318,5.1,1103.2734375,1230.154107093811,428.3675603866577,6.257319194899955,0.2433091617865282
1.51316499710083,2.7,1104.99609375,1231.2534074783325,428.40372943878174,5.811926057648463,0.19122330846046293
1.6139042377471924,10.3,1106.47265625,1232.3581857681274,428.4107713699341,5.47630157455713,0.03490631470017528
1.7146270275115967,5.0,1107.94921875,1233.465703010559,428.4161653518677,5.167384974860488,0.025166904974882737
1.8152315616607666,5.1,1109.66796875,1234.5746431350708,428.4216432571411,4.8872668278074345,0.024141956934357094
1.9165236949920654,14.0,1110.8203125,1235.2831182479858,428.4348192214966,2.9573341139117915,0.05499943210677935
2.017244338989258,7.5,1111.3125,1235.6401090621948,428.4751043319702,1.4157563654895864,0.15976293875760317
2.1183865070343018,12.2,1112.05078125,1236.2427206039429,428.55289936065674,2.2757378400854367,0.29378974395162627
2.2196967601776123,7.7,1112.54296875,1236.7744455337524,428.61711406707764,1.9163876412272587,0.2314359603453589
2.320814371109009,7.7,1111.9609375,1237.5145902633667,428.6803216934204,2.5513276333619985,0.21788085123781603
2.421597480773926,2.7,1111.58203125,1238.117564201355,428.7279691696167,1.991987331587659,0.15740841019065235
2.522340774536133,14.6,1112.07421875,1239.0309858322144,428.77886486053467,2.897060191329164,0.16142367893118215
2.62328839302063,5.1,1111.58203125,1239.8160696029663,428.8310556411743,2.3941973679773882,0.15916139690475276
2.7243244647979736,10.0,1097.265625,1240.5860929489136,428.8750810623169,2.26117955007791,0.12928099192720172
2.8255038261413574,7.5,1097.37890625,1241.5722074508667,428.90974712371826,2.7920386950593796,0.09815187247142061
2.931575298309326,9.3,1098.84375,1242.5351858139038,428.95796298980713,2.627879593861963,0.1315766744703405
3.0329158306121826,10.0,1099.828125,1243.36536693573,428.9864454269409,2.1897900718427863,0.07512885612269693
3.134279489517212,9.5,1100.56640625,1243.8499670028687,429.00830936431885,1.236903265990021,0.05580596740285595
3.2355027198791504,2.6,1101.05859375,1244.2200365066528,429.0305013656616,0.9150219568920707,0.054871229021503855
3.33685564994812,9.8,1101.796875,1244.710696220398,429.0479669570923,1.1763402801142944,0.04187317226248156
3.4379327297210693,2.6,1102.78125,1245.2313032150269,429.08367252349854,1.211441957844579,0.08308613161060172
3.5392799377441406,5.0,1104.24609375,1246.272936820984,429.1010618209839,2.354453163986674,0.039305842524420646
3.640507698059082,2.6,1105.4765625,1247.0582189559937,429.11011600494385,1.7256541123172129,0.019896530288427913
3.7418036460876465,14.3,1106.94921875,1247.9129858016968,429.1160554885864,1.8274969539822898,0.012698653813731413
3.8431429862976074,5.0,1107.44140625,1248.441439628601,429.12122440338135,1.100045101186093,0.010759765771611812
3.9442782402038574,5.3,1108.1796875,1249.108720779419,429.14541721343994,1.3534159816948068,0.04906917531729376
4.045558929443359,11.6,1109.62890625,1249.878978729248,429.1779565811157,1.5231674302864917,0.0643458533039012
4.146822452545166,11.9,1110.3671875,1250.472734451294,429.1997938156128,1.1454663976394228,0.042128130146816246
4.248093128204346,2.7,1111.4296875,1251.2954578399658,429.2379274368286,1.5493509465874395,0.0718131548720341
4.349029064178467,5.3,1110.6875,1252.3847723007202,429.289589881897,2.003784191237943,0.09503260485221601
4.4496893882751465,5.1,1109.87109375,1253.2489767074585,429.3196268081665,1.5537343510141535,0.054002737986481524
4.550428628921509,7.5,1110.1953125,1254.2655096054077,429.36400508880615,1.7871422335704596,0.07802039633381345
4.651123762130737,7.5,1110.36328125,1255.345519065857,429.4055757522583,1.8576318596251724,0.07150214112230702
4.7523980140686035,5.1,1110.85546875,1256.2114038467407,429.4359407424927,1.4575964021876886,0.05111523091203222
4.85358738899231,9.5,1110.609375,1257.3145151138306,429.4759225845337,1.8182200977225946,0.0659006855534402
4.9549174308776855,7.5,1098.5703125,1258.2372064590454,429.5047025680542,1.4897383992151063,0.0464669434709993
5.056300640106201,10.0,1100.29296875,1259.3338346481323,429.5370931625366,1.7350680145694513,0.05124789333213628
5.157392263412476,5.3,1101.76953125,1260.3619394302368,429.5734167098999,1.5947668582792334,0.05634405220012823
5.2586987018585205,9.5,1102.75390625,1261.1286306381226,429.59672451019287,1.1663588295937617,0.035457898030524314
5.359424352645874,9.8,1103.984375,1262.0238885879517,429.62451457977295,1.3363494150443602,0.04148217084748447
5.4606850147247314,2.6,1104.72265625,1262.53653049469,429.6388864517212,0.7510294482922093,0.021055046258099046
